x y solution
0 0 0
0.00787402 0 0
0.015748 0 0
0.023622 0 0
0.0314961 0 0
0.0393701 0 0
0.0472441 0 0
0.0551181 0 0
0.0629921 0 0
0.0708661 0 0
0.0787402 0 0
0.0866142 0 0
0.0944882 0 0
0.102362 0 0
0.110236 0 0
0.11811 0 0
0.125984 0 0
0.133858 0 0
0.141732 0 0
0.149606 0 0
0.15748 0 0
0.165354 0 0
0.173228 0 0
0.181102 0 0
0.188976 0 0
0.19685 0 0
0.204724 0 0
0.212598 0 0
0.220472 0 0
0.228346 0 0
0.23622 0 0
0.244094 0 0
0.251969 0 0
0.259843 0 0
0.267717 0 0
0.275591 0 0
0.283465 0 0
0.291339 0 0
0.299213 0 0
0.307087 0 0
0.314961 0 0
0.322835 0 0
0.330709 0 0
0.338583 0 0
0.346457 0 0
0.354331 0 0
0.362205 0 0
0.370079 0 0
0.377953 0 0
0.385827 0 0
0.393701 0 0
0.401575 0 0
0.409449 0 0
0.417323 0 0
0.425197 0 0
0.433071 0 0
0.440945 0 0
0.448819 0 0
0.456693 0 0
0.464567 0 0
0.472441 0 0
0.480315 0 0
0.488189 0 0
0.496063 0 0
0.503937 0 0
0.511811 0 0
0.519685 0 0
0.527559 0 0
0.535433 0 0
0.543307 0 0
0.551181 0 0
0.559055 0 0
0.566929 0 0
0.574803 0 0
0.582677 0 0
0.590551 0 0
0.598425 0 0
0.606299 0 0
0.614173 0 0
0.622047 0 0
0.629921 0 0
0.637795 0 0
0.645669 0 0
0.653543 0 0
0.661417 0 0
0.669291 0 0
0.677165 0 0
0.685039 0 0
0.692913 0 0
0.700787 0 0
0.708661 0 0
0.716535 0 0
0.724409 0 0
0.732283 0 0
0.740157 0 0
0.748031 0 0
0.755906 0 0
0.76378 0 0
0.771654 0 0
0.779528 0 0
0.787402 0 0
0.795276 0 0
0.80315 0 0
0.811024 0 0
0.818898 0 0
0.826772 0 0
0.834646 0 0
0.84252 0 0
0.850394 0 0
0.858268 0 0
0.866142 0 0
0.874016 0 0
0.88189 0 0
0.889764 0 0
0.897638 0 0
0.905512 0 0
0.913386 0 0
0.92126 0 0
0.929134 0 0
0.937008 0 0
0.944882 0 0
0.952756 0 0
0.96063 0 0
0.968504 0 0
0.976378 0 0
0.984252 0 0
0.992126 0 0
1 0 0
0 0.00787402 0
0.00787402 0.00787402 0.00244617
0.015748 0.00787402 0.00488635
0.023622 0.00787402 0.00731458
